Seconds, Temperature C, Humidity
10,22.9,48
20,22.8,48
30,22.8,48
40,22.8,47
50,22.8,47
60,22.8,48
70,22.8,48
80,22.8,48
90,23,47
100,22.8,45
110,22.3,42
120,21.7,39
130,21.1,38
140,20.2,36
150,19.6,36
160,18.9,36
170,18.3,36
180,17.6,35
190,17,35
200,16.5,35
210,15.9,34
220,15.5,34
230,15,34
240,14.7,34
250,14.3,35
260,14,35
270,13.7,35
280,13.4,35
290,13.1,35
300,12.9,34
310,12.6,33
320,12.5,33
330,12.2,34
340,12,34
350,11.8,33
360,11.6,33
370,11.4,33
380,11.3,33
390,11.1,33
400,10.9,32
410,10.8,32
420,10.6,32
430,10.4,32
440,10.2,32
450,10.1,32
460,9.9,32
470,9.8,33
480,9.7,33
490,9.6,33
500,9.9,50
510,10.5,66
520,11.3,71
530,11.9,71
540,12.6,72
550,13.1,70
560,13.6,68
570,14.1,65
580,14.5,63
590,14.9,62
600,15.3,61
610,15.6,59
620,16,59
630,16.3,58
640,16.6,58
650,16.9,57
660,17.1,56
670,17.3,58
680,17.6,57
690,17.7,57
700,17.9,56
710,18.1,56
720,18.3,56
730,18.4,56
740,18.5,55
750,18.7,55
760,18.8,55
770,19,54
780,19.1,54
790,19.2,54
800,19.3,53
810,19.4,53
820,19.5,53
830,19.6,53
840,19.7,52
850,19.7,52
860,19.9,52
870,19.9,52
880,19.9,52
890,20.1,52
900,20.1,51
910,20.2,51
920,20.2,51
930,20.3,51
940,20.4,51
950,20.4,51
960,20.5,51
970,20.6,50
980,20.6,50
990,20.7,50
1000,20.8,50
1010,20.8,50
1020,20.9,50
1030,20.9,50
1040,20.9,50
1050,21,51
1060,21,50
1070,21.1,50
1080,21.1,50
1090,21.2,50
1100,21.3,50
1110,21.3,50
1120,21.4,50
1130,21.4,50
1140,21.4,50
1150,21.4,50
1160,21.4,50
1170,21.5,50
1180,21.5,50
1190,21.5,50
1200,21.5,50
1210,21.6,50
1220,21.6,50
1230,21.7,49
1240,21.7,49
1250,21.7,49
1260,21.7,49
1270,21.8,49
1280,21.8,49
1290,21.9,49
1300,21.9,49
1310,21.9,49
1320,21.9,49
1330,21.9,49
1340,21.9,49
1350,21.9,49
1360,21.9,49
1370,22,49
1380,22,49
1390,22,49
1400,22,49
1410,22.1,49
1420,22.1,49
1430,22.1,49
1440,22.1,50
1450,22.1,50
1460,22.2,50
1470,22.2,49
1480,22.2,49
1490,22.2,49
1500,22.2,49
